Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
md_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
md_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
md_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
md_id_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Medical Devices and Supplies</div>",,,,,,,,,,,,,
md_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module includes five sections:<br><br>Section 1: Infection prevention supplies (direct questions to nurse in charge) <br>
Section 2: Inventory and forecasting of consumables (direct questions to nurse in charge)<br>
Section 3: Neonatal care devices and supplies - general (direct questions to the engineer/technician in conjunction with the nurse in charge)<br>
Section 4: Neonatal care devices and supplies - clinical competencies (direct questions to the engineer/technician in conjunction with the nurse in charge)<br>
Section 5: Maintenance and repair (direct questions to nurse in charge) </p>",,,,,,,,,,,,,
md_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
md_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria",,,,,,,y,,,,,
md_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[md_id_ctry] = '1',y,,,,,
md_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[md_id_ctry] = '2',y,,,,,
md_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[md_id_ctry] = '3',y,,,,,
md_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[md_id_ctry] = '4',y,,,,,
md_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
md_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collectors</div>",,,,,,,,,,,,,
