Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
is_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
is_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
is_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
is_id_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Information Systems</div>",,,,,,,,,,,,,
is_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module consists of eight sections:<br>
Section 1: Data sources - forms (direct towards data clerk/HRIO)<br>
Section 2: Data sources - registers and tally sheets (direct towards data clerk/HRIO)<br>
Section 3: Filing systems (direct towards data clerk/HRIO)<br>
Section 4: Neonatal data clerks (direct towards data clerk/HRIO)<br>
Section 5: Summary data for reporting (direct towards data clerk/HRIO)<br>
Section 6: Maternal perinatal death surveillance and response (direct towards data clerk/HRIO)<br>
Section 7: Civil registration and vital statistics (direct towards data clerk/HRIO)<br>
Section 8: Electronic information systems and infrastructure (direct towards IT officer) <br>
Section 9: Indicator variables (direct towards data clerk/HRIO) <br>
",,,,,,,,,,,,,
is_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
is_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria",,,,,,,y,,,,,
is_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[is_id_ctry] = '1',y,,,,,
is_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[is_id_ctry] = '2',y,,,,,
is_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[is_id_ctry] = '3',y,,,,,
is_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[is_id_ctry] = '4',y,,,,,
is_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
is_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
is_id_iw_num,hfa_identification,,radio,How many data collectors collected this data?,"1, 1 data collector|2, 2 data collectors",,,,,,,y,,,,,
is_id_hed_5,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[is_id_iw_num] = '1' or [is_id_iw_num] = '2',,,,,,
is_id_iw_nam_1,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[is_id_iw_num] = '1' or [is_id_iw_num] = '2',y,,,,,
is_id_hed_6,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[is_id_iw_num] = '2',,,,,,
is_id_iw_nam_2,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[is_id_iw_num] = '2',,,,,,
is_id_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
is_id_com,hfa_identification,,notes,Comments:,,,,,,,,,,,,,
is_frm_hed_1,hfa_data_sources_forms,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
is_frm_ban_1,hfa_data_sources_forms,,descriptive,,,,,,,,,,,,,,
is_frm_hed_2,hfa_data_sources_forms,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Data Sources - Forms</div>",,,,,,,,,,,,,
is_frm_ins_1,hfa_data_sources_forms,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Please direct these questions towards the data clerk and/or the Health Records and Information Officer (HRIO). Select ""Yes"" if the document is used at the facility and ""No"" if it is not used at the facility. The document can be part of a larger document or booklet. If it is used at the facility, indicate the source (who created the form) and if it is paper-based or electronic. Examples of who created the document include ""government"" if it is an official ministry of health document, ""facility"" if the facility developed the document itself, ""NGO"" or ""Project"" if it is part of a special study or NGO-led program (e.g. WHO KMC study). If the form was created by the facility and is only used by the facility, the creator would be the facility.<br><br> If the facility has an informal method of documenting this information, please specify in the comment box. It is likely that you will have to walk around to different parts of the hospital to view all the documents. If some of these documents are combined at a facility, please indicate that each one is available in the separate lines. <br><br>Please do not leave any variable blank. If a free text variable is unknown and an answer is required, write ""-1"" for numeric fields and ""unknown"" for text fields. If a multiple-choice variable is unknown, select ""unknown"".<b></p>",,,,,,,,,,,,,
is_frm_hed_3,hfa_data_sources_forms,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px""></div>",,,,,,,,,,,,,
is_frm_rp_num,hfa_data_sources_forms,,radio,Number of Respondents Interviewed:,"1, 1 respondent|2, 2 respondents|3, 3 respondents|4, 4 respondents|5, 5 respondents",,,,,,,y,,,,,
is_frm_rp_hed_1,hfa_data_sources_forms,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #1</div>",,,,,,,[is_frm_rp_num] >= 1,,,,,,
is_frm_rp_nam_1,hfa_data_sources_forms,,text,Respondent Name (First and Last):,,,,,,y,[is_frm_rp_num] >= 1,y,,,,,
is_frm_rp_pos_1,hfa_data_sources_forms,,radio,Respondent Position:,"6, Hospital Management | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 8, HMIS Officer | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[is_frm_rp_num] >= 1,y,,,,,
is_frm_rp_othpos_1,hfa_data_sources_forms,,text,"If other position, please specify: ",,,,,,,[is_frm_rp_pos_1] = '99',,,,,,
is_frm_rp_ph_1,hfa_data_sources_forms,,text,Respondent Phone Number:,,,,,,y,[is_frm_rp_num] >= 1,,,,,,
is_frm_rp_hed_2,hfa_data_sources_forms,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #2</div>",,,,,,,[is_frm_rp_num] >= 2,,,,,,
is_frm_rp_nam_2,hfa_data_sources_forms,,text,Respondent Name (First and Last):,,,,,,y,[is_frm_rp_num] >= 2,,,,,,
is_frm_rp_pos_2,hfa_data_sources_forms,,radio,Respondent Position:,"6, Hospital Management | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 8, HMIS Officer | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[is_frm_rp_num] >= 2,,,,,,
is_frm_rp_othpos_2,hfa_data_sources_forms,,text,"If other position, please specify: ",,,,,,,[is_frm_rp_pos_2] = '99',,,,,,
is_frm_rp_ph_2,hfa_data_sources_forms,,text,Respondent Phone Number:,,,,,,y,[is_frm_rp_num] >= 2,,,,,,
is_frm_rp_hed_3,hfa_data_sources_forms,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #3</div>",,,,,,,[is_frm_rp_num] >= 3,,,,,,
is_frm_rp_nam_3,hfa_data_sources_forms,,text,Respondent Name (First and Last):,,,,,,y,[is_frm_rp_num] >= 3,,,,,,
is_frm_rp_pos_3,hfa_data_sources_forms,,radio,Respondent Position:,"6, Hospital Management | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 8, HMIS Officer | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[is_frm_rp_num] >= 3,,,,,,
