Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
gv_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
gv_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
gv_id_hed_2,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module consists of four sections:

1.	Target Setting (hospital administrator)<br>
2.	Financing Reports (hospital administrator)<br>
3.	Staff Absenteeism and Performance Review (hospital administrator)<br>
4.	Clinical Audit and Management Meetings (hospital administrator)
</p>",,,,,,,,,,,,,
gv_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Facility Identification</div>",,,,,,,,,,,,,
gv_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria",,,,,,,y,,,,,
gv_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[gv_id_ctry] = '1',y,,,,,
gv_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[gv_id_ctry] = '2',y,,,,,
gv_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[gv_id_ctry] = '3',y,,,,,
gv_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[gv_id_ctry] = '4',y,,,,,
gv_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
gv_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collectors</div>",,,,,,,,,,,,,
gv_id_iw_num,hfa_identification,,radio,How many data collectors collected this data?,"1, 1 data collector | 2, 2 data collectors",,,,,,,y,,,,,
gv_id_hed_5,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[gv_id_iw_num] = '1' or [gv_id_iw_num] = '2',,,,,,
gv_id_iw_nam_1,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[gv_id_iw_num] = '1' or [gv_id_iw_num] = '2',y,,,,,
gv_id_hed_6,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[gv_id_iw_num] = '2',,,,,,
gv_id_iw_nam_2,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[gv_id_iw_num] = '2',,,,,,
gv_id_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_id_com,hfa_identification,,notes,Comments:,,,,,,,,,,,,,
gv_tar_hed_1,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_tar_ban_1,hfa_target_setting,,descriptive,,,,,,,,,,,,,,
gv_tar_hed_2,hfa_target_setting,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Target Setting</div>",,,,,,,,,,,,,
gv_tar_ins_1,hfa_target_setting,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Direct these questions to the hospital administrator. For some questions, you will need to ask and observe the staff or specific items/spaces at the facility. Please do not leave any variable blank. If a response is unknown, write “unknown” or select ""unknown"" from the multiple-choice answers.<br>
<b>Prompt:</b> “I'd like to ask you a few questions on target setting.”</p>",,,,,,,,,,,,,
gv_tar_hed_3,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_tar_rp_num,hfa_target_setting,,radio,Number of Respondents Interviewed:,"1, 1 respondent|2, 2 respondents|3, 3 respondents|4, 4 respondents|5, 5 respondents",,,,,,,y,,,,,
gv_tar_rp_hed_1,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #1</div>",,,,,,,[gv_tar_rp_num] >= 1,,,,,,
gv_tar_rp_nam_1,hfa_target_setting,,text,Respondent Name (First and Last):,,,,,,y,[gv_tar_rp_num] >= 1,y,,,,,
gv_tar_rp_pos_1,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 1,y,,,,,
gv_tar_rp_othpos_1,hfa_target_setting,,text,"If other position, please specify: ",,,,,,,[gv_tar_rp_pos_1] = '99',,,,,,
gv_tar_rp_ph_1,hfa_target_setting,,text,Respondent Phone Number:,,,,,,y,[gv_tar_rp_num] >= 1,,,,,,
gv_tar_rp_hed_2,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #2</div>",,,,,,,[gv_tar_rp_num] >= 2,,,,,,
gv_tar_rp_nam_2,hfa_target_setting,,text,Respondent Name (First and Last):,,,,,,y,[gv_tar_rp_num] >= 2,,,,,,
gv_tar_rp_pos_2,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 2,,,,,,
gv_tar_rp_othpos_2,hfa_target_setting,,text,"If other position, please specify: ",,,,,,,[gv_tar_rp_pos_2] = '99',,,,,,
gv_tar_rp_ph_2,hfa_target_setting,,text,Respondent Phone Number:,,,,,,y,[gv_tar_rp_num] >= 2,,,,,,
gv_tar_rp_hed_3,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #3</div>",,,,,,,[gv_tar_rp_num] >= 3,,,,,,
gv_tar_rp_nam_3,hfa_target_setting,,text,Respondent Name (First and Last):,,,,,,y,[gv_tar_rp_num] >= 3,,,,,,
gv_tar_rp_pos_3,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 3,,,,,,
gv_tar_rp_othpos_3,hfa_target_setting,,text,"If other position, please specify: ",,,,,,,[gv_tar_rp_pos_3] = '99',,,,,,
gv_tar_rp_ph_3,hfa_target_setting,,text,Respondent Phone Number:,,,,,,y,[gv_tar_rp_num] >= 3,,,,,,
gv_tar_rp_hed_4,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #4</div>",,,,,,,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_nam_4,hfa_target_setting,,text,Respondent Name (First and Last):,,,,,,y,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_pos_4,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_othpos_4,hfa_target_setting,,text,"If other position, please specify: ",,,,,,,[gv_tar_rp_pos_4] = '99',,,,,,
gv_tar_rp_ph_4,hfa_target_setting,,text,Respondent Phone Number:,,,,,,y,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_hed_5,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #5</div>",,,,,,,[gv_tar_rp_num] >= 5,,,,,,
gv_tar_rp_nam_5,hfa_target_setting,,text,Respondent Name (First and Last):,,,,,,y,[gv_tar_rp_num] >= 5,,,,,,
gv_tar_rp_pos_5,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 5,,,,,,
