Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
inf_id2_recid2,hfa_identification,,text,Record ID,,,,,,,,,,,,,
inf_id2_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_id2_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
inf_id2_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Facility Identification</div>",,,,,,,,,,,,,
inf_id2_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> 

This module consists of four sections:<br>
Section 1: Neonatal unit infrastructure (direct questions to nurse in charge)<br>
Section 2: Neonatal unit infection prevention and control (direct questions to nurse in charge)<br>
Section 3: Neonatal unit electricity (direct questions to nurse in charge and technician)<br>
Section 4: Admission and discharge criteria (direct questions to nurse in charge)<br>
</i></p>",,,,,,,,,,,,,
inf_id2_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_id2_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria | 5, Ethiopia",,,,,,,y,,,,,
inf_id2_facid2_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id2_ctry] = '1',y,,,,,
inf_id2_facid2_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id2_ctry] = '2',y,,,,,
inf_id2_facid2_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id2_ctry] = '3',y,,,,,
inf_id2_facid2_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id2_ctry] = '4',y,,,,,
inf_id2_facid2_et,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id2_ctry] = '5',y,,,,,
inf_id2_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
inf_id2_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collectors</div>",,,,,,,,,,,,,
inf_id2_iw_num,hfa_identification,,radio,How many data collectors collected this data?,"1, 1 data collector | 2, 2 data collectors",,,,,,,y,,,,,
inf_id2_hed_5,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[inf_id2_iw_num] = '1' or [inf_id2_iw_num] = '2',,,,,,
inf_id2_iw_nam_1,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[inf_id2_iw_num] = '1' or [inf_id2_iw_num] = '2',y,,,,,
inf_id2_hed_6,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[inf_id2_iw_num] = '2',,,,,,
inf_id2_iw_nam_2,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[inf_id2_iw_num] = '2',,,,,,
inf_id2_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
