Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ws_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
ws_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
ws_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
ws_id_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Biomedical Technician Workshop</div>",,,,,,,,,,,,,
ws_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module includes four sections. Ask for assistance for:<br>
Section 1: Spare Parts & Tools (direct towards the biomed maintenance staff)<br>
Section 2: Storage & Layout (direct towards the biomed maintenance staff)<br>
Section 3: Other Workshop Questions (direct towards the Head Biomed Engineer/technician in the maintenance department)<br>
Section 4: Maintenance & Repair (direct towards the biomed maintenance staff)</i></p>",,,,,,,,,,,,,
ws_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
ws_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria | 5, Ethiopia",,,,,,,y,,,,,
ws_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[ws_id_ctry] = '1',,,,,,
ws_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[ws_id_ctry] = '2',,,,,,
ws_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[ws_id_ctry] = '3',,,,,,
ws_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[ws_id_ctry] = '4',,,,,,
ws_id_facid_et,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[ws_id_ctry] = '5',,,,,,
ws_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
ws_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collectors</div>",,,,,,,,,,,,,
ws_id_iw_num,hfa_identification,,radio,How many data collectors collected this data?,"1, 1 data collector | 2, 2 data collectors",,,,,,,y,,,,,
ws_id_hed_5,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[ws_id_iw_num] = '1' or [ws_id_iw_num] = '2',,,,,,
ws_id_iw_nam_1,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[ws_id_iw_num] = '1' or [ws_id_iw_num] = '2',y,,,,,
ws_id_hed_6,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[ws_id_iw_num] = '2',,,,,,
ws_id_iw_nam_2,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[ws_id_iw_num] = '2',,,,,,
ws_id_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
ws_id_com,hfa_identification,,notes,Comments:,,,,,,,,,,,,,
