Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
hr_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
hr_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf;padding:10px""></div>",,,,,,,,,,,,,
hr_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
hr_id_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Human Resources for Health and Performance</div>",,,,,,,,,,,,,
hr_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module consists of six sections and addressed to:<br>
Section 1: Facility staffing (direct questions to human resources and management)<br>
Section 2: Facility policies and working conditions (direct questions to nurse in charge)<br>
Section 3: Neonatal unit staffing (direct questions to nurse in charge)<br>
Section 4: Clinical care policies and guidelines (direct questions to nurse in charge)<br>
Section 5: Newborn care signal functions (direct questions to nurse in charge)<br>
Section 6: Supervisory support, motivation, and training (direct questions to nurse in charge)</i></p>",,,,,,,,,,,,,
hr_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf;padding:10px""></div>",,,,,,,,,,,,,
hr_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria | 5, Ethiopia",,,,,,,y,,,,,
hr_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[hr_id_ctry] = '1',y,,,,,
hr_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[hr_id_ctry] = '2',y,,,,,
hr_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[hr_id_ctry] = '3',y,,,,,
hr_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[hr_id_ctry] = '4',y,,,,,
hr_id_facid_et,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[hr_id_ctry] = '5',y,,,,,
hr_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
hr_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf;padding:10px"">Data Collectors</div>",,,,,,,,,,,,,
hr_id_iw_num,hfa_identification,,radio,How many data collectors collected this data?,"1, 1 data collector |2, 2 data collectors",,,,,,,y,,,,,
hr_id_hed_5,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[hr_id_iw_num] = '1' or [hr_id_iw_num] = '2',,,,,,
hr_id_iw_nam_1,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[hr_id_iw_num] = '1' or [hr_id_iw_num] = '2',y,,,,,
hr_id_hed_6,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[hr_id_iw_num] = '2',,,,,,
hr_id_iw_nam_2,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[hr_id_iw_num] = '2',,,,,,
hr_id_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
hr_id_com,hfa_identification,,notes,Comments:,,,,,,,,,,,,,
hr_fac_hed_1,hfa_facility_staffing,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
hr_fac_ban_1,hfa_facility_staffing,,descriptive,,,,,,,,,,,,,,
hr_fac_hed_2,hfa_facility_staffing,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Facility Staffing</div>",,,,,,,,,,,,,
hr_fac_ins_1,hfa_facility_staffing,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Direct these questions to the human resources team. Do not include students in any of the staff member counts (clinical technicians can be counted as clinical officers). Do not leave any variable blank (write “0” if no staff). If a free text variable is unknown and an answer is required, write ""-1"" for numeric fields and ""unknown"" for text fields. If a multiple-choice variable is unknown, select ""unknown"".</i></p>",,,,,,,,,,,,,
hr_fac_hed_3,hfa_facility_staffing,,descriptive,"<div style=""background-color:#82cdbf;padding:10px""></div>",,,,,,,,,,,,,
hr_fac_rp_num,hfa_facility_staffing,,radio,Number of Respondents Interviewed:,"1, 1 respondent|2, 2 respondents|3, 3 respondents|4, 4 respondents|5, 5 respondents",,,,,,,y,,,,,
hr_fac_rp_hed_1,hfa_facility_staffing,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #1</div>",,,,,,,[hr_fac_rp_num] >= 1,,,,,,
hr_fac_rp_nam_1,hfa_facility_staffing,,text,Respondent Name (First and Last):,,,,,,y,[hr_fac_rp_num] >= 1,y,,,,,
hr_fac_rp_pos_1,hfa_facility_staffing,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[hr_fac_rp_num] >= 1,y,,,,,
